"year","min_slr","mean_slr","max_slr","delta_min_slr","delta_mean_slr","delta_max_slr"
2041,0.1214,0.1972,0.2769,0.0021,0.005,0.0082
2042,0.1235,0.2022,0.2851,0.0021,0.005,0.0082
2043,0.1256,0.2072,0.2932,0.0021,0.005,0.0081
2044,0.1277,0.2122,0.3013,0.0021,0.005,0.0081
2045,0.1297,0.2172,0.3095,0.002,0.005,0.0082
2046,0.1335,0.2254,0.3223,0.0038,0.0082,0.0128
2047,0.1391,0.2322,0.3304,0.0056,0.0068,0.0081
2048,0.1439,0.2385,0.3385,0.0048,0.0063,0.0081
2049,0.1462,0.2442,0.3479,0.0023,0.0057,0.0094
2050,0.1503,0.251,0.3576,0.0041,0.0068,0.0097
2051,0.157,0.2582,0.3655,0.0067,0.0072,0.0079
2052,0.1616,0.2643,0.3732,0.0046,0.0061,0.0077
2053,0.1644,0.2696,0.3813,0.0028,0.0053,0.0081
2054,0.1688,0.2762,0.3903,0.0044,0.0066,0.009
2055,0.1735,0.2835,0.4007,0.0047,0.0073,0.0104
2056,0.177,0.2898,0.4098,0.0035,0.0063,0.0091
2057,0.1785,0.2952,0.4194,0.0015,0.0054,0.0096
2058,0.1819,0.3009,0.4278,0.0034,0.0057,0.0084
2059,0.1878,0.3082,0.4367,0.0059,0.0073,0.0089
2060,0.1905,0.3135,0.4449,0.0027,0.0053,0.0082
2061,0.1945,0.3199,0.454,0.004,0.0064,0.0091
2062,0.1977,0.3263,0.4638,0.0032,0.0064,0.0098
2063,0.202,0.333,0.4733,0.0043,0.0067,0.0095
2064,0.2046,0.3386,0.4822,0.0026,0.0056,0.0089
2065,0.2076,0.3451,0.4925,0.003,0.0065,0.0103
2066,0.2098,0.3508,0.502,0.0022,0.0057,0.0095
2067,0.2129,0.3574,0.5125,0.0031,0.0066,0.0105
2068,0.2174,0.3644,0.5224,0.0045,0.007,0.0099
2069,0.2209,0.371,0.5322,0.0035,0.0066,0.0098
2070,0.2243,0.3773,0.5419,0.0034,0.0063,0.0097
2071,0.2257,0.3824,0.551,0.0014,0.0051,0.0091
2072,0.2291,0.3889,0.5609,0.0034,0.0065,0.0099
2073,0.2348,0.3963,0.5703,0.0057,0.0074,0.0094
2074,0.2406,0.4033,0.5788,0.0058,0.007,0.0085
2075,0.2446,0.4097,0.588,0.004,0.0064,0.0092
2076,0.2491,0.4174,0.5993,0.0045,0.0077,0.0113
2077,0.2534,0.4233,0.6069,0.0043,0.0059,0.0076
2078,0.2565,0.4297,0.617,0.0031,0.0064,0.0101
2079,0.2604,0.4364,0.6269,0.0039,0.0067,0.0099
2080,0.2639,0.4434,0.6377,0.0035,0.007,0.0108
2081,0.2683,0.4508,0.6486,0.0044,0.0074,0.0109
2082,0.2714,0.4572,0.6586,0.0031,0.0064,0.01
2083,0.2745,0.4637,0.6689,0.0031,0.0065,0.0103
2084,0.2772,0.4706,0.6804,0.0027,0.0069,0.0115
2085,0.2801,0.476,0.6886,0.0029,0.0054,0.0082
2086,0.2832,0.4808,0.6955,0.0031,0.0048,0.0069
2087,0.2862,0.4869,0.705,0.003,0.0061,0.0095
2088,0.2899,0.4929,0.7135,0.0037,0.006,0.0085
2089,0.291,0.4976,0.7221,0.0011,0.0047,0.0086
2090,0.2944,0.5038,0.7314,0.0034,0.0062,0.0093
2091,0.2996,0.5101,0.7392,0.0052,0.0063,0.0078
2092,0.3033,0.5165,0.7486,0.0037,0.0064,0.0094
2093,0.306,0.5224,0.7579,0.0027,0.0059,0.0093
2094,0.3086,0.5282,0.7675,0.0026,0.0058,0.0096
2095,0.3119,0.5349,0.7779,0.0033,0.0067,0.0104
2096,0.3137,0.5385,0.7834,0.0018,0.0036,0.0055
2097,0.3172,0.5455,0.7943,0.0035,0.007,0.0109
2098,0.3207,0.5526,0.8053,0.0035,0.0071,0.011
2099,0.3242,0.5597,0.8162,0.0035,0.0071,0.0109
2100,0.3277,0.5667,0.8272,0.0035,0.007,0.011
